date,takjil,baju_lebaran,snack_lebaran,diskon,total_search_interest
2025-11-25,0,2,0,29,31
2025-11-26,0,2,0,29,31
2025-11-27,0,2,0,28,30
2025-11-28,0,3,0,33,36
2025-11-29,0,2,0,25,27
2025-11-30,0,2,0,28,30
2025-12-01,1,3,0,34,38
2025-12-02,0,2,0,33,35
2025-12-03,0,3,0,32,35
2025-12-04,0,3,0,30,33
2025-12-05,0,4,0,31,35
2025-12-06,0,3,0,28,31
2025-12-07,0,4,0,27,31
2025-12-08,0,3,0,27,30
2025-12-09,0,3,0,32,35
2025-12-10,0,2,0,31,33
2025-12-11,0,2,0,43,45
2025-12-12,0,3,0,34,37
2025-12-13,0,4,0,27,31
2025-12-14,0,4,0,23,27
2025-12-15,0,4,0,26,30
2025-12-16,0,4,0,24,28
2025-12-17,0,3,0,26,29
2025-12-18,1,3,0,27,31
2025-12-19,2,4,0,28,34
2025-12-20,0,3,0,30,33
2025-12-21,0,2,0,27,29
2025-12-22,0,4,0,28,32
2025-12-23,0,3,0,27,30
2025-12-24,0,4,0,33,37
2025-12-25,0,4,0,35,39
2025-12-26,0,4,0,32,36
2025-12-27,0,4,0,31,35
2025-12-28,2,4,0,27,33
2025-12-29,0,4,0,31,35
2025-12-30,0,5,0,29,34
2025-12-31,0,4,0,36,40
2026-01-01,0,4,0,35,39
2026-01-02,0,5,0,28,33
2026-01-03,0,6,0,25,31
2026-01-04,0,6,0,24,30
2026-01-05,2,5,0,24,31
2026-01-06,2,6,0,26,34
2026-01-07,1,6,0,29,36
2026-01-08,2,7,0,23,32
2026-01-09,2,7,0,27,36
2026-01-10,2,7,0,24,33
2026-01-11,1,7,0,22,30
2026-01-12,2,6,0,23,31
2026-01-13,0,4,0,28,32
2026-01-14,2,6,0,24,32
2026-01-15,1,6,0,23,30
2026-01-16,3,7,0,26,36
2026-01-17,0,6,0,26,32
2026-01-18,2,7,0,22,31
2026-01-19,2,7,0,24,33
2026-01-20,2,7,0,28,37
2026-01-21,0,6,0,25,31
2026-01-22,2,5,0,23,30
2026-01-23,2,7,0,26,35
2026-01-24,2,7,0,27,36
2026-01-25,2,7,0,24,33
2026-01-26,4,6,0,26,36
2026-01-27,4,6,0,28,38
2026-01-28,3,5,0,28,36
2026-01-29,3,6,0,29,38
2026-01-30,2,6,0,29,37
2026-01-31,2,6,0,25,33
2026-02-01,3,10,0,29,42
2026-02-02,4,8,0,29,41
2026-02-03,4,8,0,31,43
2026-02-04,5,8,0,27,40
2026-02-05,6,8,0,27,41
2026-02-06,4,8,0,27,39
2026-02-07,4,8,1,24,37
2026-02-08,4,11,0,27,42
2026-02-09,8,10,0,31,49
2026-02-10,8,7,0,35,50
2026-02-11,9,9,1,29,48
2026-02-12,10,9,1,29,49
2026-02-13,11,10,0,29,50
2026-02-14,10,11,1,25,47
2026-02-15,13,14,1,24,52
2026-02-16,17,15,1,24,57
2026-02-17,22,18,1,22,63
2026-02-18,37,16,1,22,76
2026-02-19,100,19,1,24,144
2026-02-20,73,20,1,29,123
2026-02-21,70,24,1,39,134
2026-02-22,59,23,1,28,111
2026-02-23,61,19,1,27,108
2026-02-24,59,19,1,29,108
2026-02-25,61,17,2,32,112
