date,takjil,baju lebaran,snack lebaran,isPartial
2025-11-23,0,2,0,False
2025-11-24,0,2,0,False
2025-11-25,0,2,0,False
2025-11-26,0,2,0,False
2025-11-27,0,2,0,False
2025-11-28,0,0,0,False
2025-11-29,0,3,0,False
2025-11-30,0,2,0,False
2025-12-01,0,3,0,False
2025-12-02,0,3,0,False
2025-12-03,0,3,0,False
2025-12-04,0,2,0,False
2025-12-05,0,4,0,False
2025-12-06,0,3,0,False
2025-12-07,0,3,0,False
2025-12-08,0,3,0,False
2025-12-09,0,1,0,False
2025-12-10,0,3,0,False
2025-12-11,0,3,0,False
2025-12-12,0,3,0,False
2025-12-13,0,3,0,False
2025-12-14,0,4,0,False
2025-12-15,0,4,0,False
2025-12-16,0,4,0,False
2025-12-17,0,3,0,False
2025-12-18,0,3,0,False
2025-12-19,0,5,0,False
2025-12-20,0,3,0,False
2025-12-21,0,4,0,False
2025-12-22,2,4,0,False
2025-12-23,0,3,0,False
2025-12-24,0,4,0,False
2025-12-25,0,4,0,False
2025-12-26,0,4,0,False
2025-12-27,0,4,0,False
2025-12-28,2,4,0,False
2025-12-29,0,5,0,False
2025-12-30,0,5,0,False
2025-12-31,0,4,0,False
2026-01-01,0,4,0,False
2026-01-02,0,5,0,False
2026-01-03,0,6,0,False
2026-01-04,0,6,0,False
2026-01-05,2,5,0,False
2026-01-06,0,6,0,False
2026-01-07,1,6,0,False
2026-01-08,1,7,0,False
2026-01-09,2,7,0,False
2026-01-10,2,8,0,False
2026-01-11,0,8,0,False
2026-01-12,2,6,0,False
2026-01-13,2,4,0,False
2026-01-14,2,6,0,False
2026-01-15,0,6,0,False
2026-01-16,3,8,0,False
2026-01-17,2,7,0,False
2026-01-18,2,7,0,False
2026-01-19,2,8,0,False
2026-01-20,2,8,0,False
2026-01-21,0,6,0,False
2026-01-22,2,7,0,False
2026-01-23,2,6,0,False
2026-01-24,3,7,0,False
2026-01-25,2,6,0,False
2026-01-26,4,7,0,False
2026-01-27,4,7,0,False
2026-01-28,4,6,0,False
2026-01-29,3,6,0,False
2026-01-30,3,5,0,False
2026-01-31,2,6,0,False
2026-02-01,1,10,0,False
2026-02-02,4,8,0,False
2026-02-03,5,8,0,False
2026-02-04,5,7,0,False
2026-02-05,6,9,0,False
2026-02-06,6,7,0,False
2026-02-07,4,8,0,False
2026-02-08,4,11,0,False
2026-02-09,7,9,1,False
2026-02-10,8,8,0,False
2026-02-11,9,9,1,False
2026-02-12,10,10,1,False
2026-02-13,11,10,0,False
2026-02-14,11,12,1,False
2026-02-15,14,15,1,False
2026-02-16,20,15,1,False
2026-02-17,24,19,1,False
2026-02-18,38,18,1,False
2026-02-19,100,19,1,False
2026-02-20,79,22,1,False
2026-02-21,72,22,1,False
2026-02-22,62,24,1,False
2026-02-23,57,21,2,True
